序号,★古树名木编号,古树群编号,调查样方号,★古树名木类别,★省名称,★省编码,★市名称,★市编码,★县名称,★县编码,★乡镇（街道）,★乡镇（街道）编码,村（居委会）,村（居委会）编码,小地名,★树种-科,★树种-属,★树种-中文名,树种-学名,树种-俗名,★生长场所,★分布特点,★经度,★纬度,★权属,特征代码,★树龄,古树等级,★树龄测定方法,★树高（米）,★胸围（厘米）,★地围（厘米）,★平均冠幅（米）,★东西冠幅（米）,★南北冠幅（米）,海拔（米）,坡向,坡度,坡位,★土壤类型,★土层厚度,★土壤紧密度,★生长势,★生长环境,树体损伤,树体损伤具体描述,潜在损伤原因,潜在损伤原因其他描述,★新增古树名木原因,古树历史资料,★养护责任人类别,★养护责任人,★主管部门,树木奇特状况描述,树种鉴定记载,保护措施,养护复壮现状,照片说明,★照片数量,照片保存位置,死亡时间,死亡原因,处置措施,移植时间,移植原因,原地信息,移植方案,★调查人,★调查日期,审核人,审核日期,名木类别,名木栽植人,名木栽植日期,原挂牌号,档案年度,备注,省古树编号
168,232,,,古树,新疆维吾尔自治区,65,阿勒泰地区,6543,布尔津县,654321,禾木哈纳斯蒙古民族乡,654321205,哈纳斯村委会,654321205201,哈纳斯村,松科,落叶松属,新疆落叶松,Larix Sibirica,,乡村,散生,87.02955750°,48.69664700°,国有,,254.99,3,回归估测,17,248.06,282.6,4.45,4.5,4.4,1359.6,无坡向,平坡,平地,灰色森林土,25,中等,良好,良好,,,,,遗漏树木,无,,,,,,,,,3,,,,,,,,,,,,,,,,,2025,,
169,233,,,古树,新疆维吾尔自治区,65,阿勒泰地区,6543,布尔津县,654321,禾木哈纳斯蒙古民族乡,654321205,哈纳斯村委会,654321205201,卧龙湾-鸭泽湖,松科,落叶松属,新疆落叶松,Larix Sibirica,,乡村,散生,87.04960600°,48.62187767°,国有,,203.25,3,回归估测,16,204.1,266.9,5.2,4.3,6.1,1362.1,无坡向,平坡,平地,灰色森林土,25,中等,良好,良好,,,,,遗漏树木,无,,,,,,,,,3,,,,,,,,,,,,,,,,,2025,,
170,234,,,古树,新疆维吾尔自治区,65,阿勒泰地区,6543,布尔津县,654321,禾木哈纳斯蒙古民族乡,654321205,哈纳斯村委会,654321205201,卧龙湾-鸭泽湖,松科,落叶松属,新疆落叶松,Larix Sibirica,,乡村,散生,87.04958500°,48.62175850°,国有,,232.82,3,回归估测,16,229.22,263.76,5.5,5,6,1360.8,无坡向,平坡,平地,灰色森林土,25,中等,良好,良好,,,,,遗漏树木,无,,,,,,,,,3,,,,,,,,,,,,,,,,,2025,,
171,235,,,古树,新疆维吾尔自治区,65,阿勒泰地区,6543,布尔津县,654321,禾木哈纳斯蒙古民族乡,654321205,哈纳斯村委会,654321205201,卧龙湾-鸭泽湖,松科,落叶松属,新疆落叶松,Larix Sibirica,,乡村,散生,87.04954250°,48.62173033°,国有,,186.7,3,回归估测,15,191.54,232.36,5.5,6,5,1363.4,无坡向,平坡,平地,灰色森林土,25,中等,良好,良好,,,,,遗漏树木,无,,,,,,,,,3,,,,,,,,,,,,,,,,,2025,,
172,236,,,古树,新疆维吾尔自治区,65,阿勒泰地区,6543,布尔津县,654321,禾木哈纳斯蒙古民族乡,654321205,哈纳斯村委会,654321205201,卧龙湾-鸭泽湖,松科,落叶松属,新疆落叶松,Larix Sibirica,,乡村,散生,87.04944567°,48.62169817°,国有,,310.43,3,回归估测,19,295.16,364.24,6,6,6,1356.2,无坡向,平坡,平地,灰色森林土,25,中等,良好,良好,,,,,遗漏树木,无,,,,,,,,,3,,,,,,,,,,,,,,,,,2025,,
173,237,,,古树,新疆维吾尔自治区,65,阿勒泰地区,6543,布尔津县,654321,禾木哈纳斯蒙古民族乡,654321205,哈纳斯村委会,654321205201,卧龙湾-鸭泽湖,松科,落叶松属,新疆落叶松,Larix Sibirica,,乡村,散生,87.04938917°,48.62183917°,国有,,240.21,3,回归估测,17,235.5,260.62,5.5,6,5,1357.8,无坡向,平坡,平地,灰色森林土,25,中等,良好,良好,,,,,遗漏树木,无,,,,,,,,,3,,,,,,,,,,,,,,,,,2025,,
174,238,,,古树,新疆维吾尔自治区,65,阿勒泰地区,6543,布尔津县,654321,禾木哈纳斯蒙古民族乡,654321205,哈纳斯村委会,654321205201,卧龙湾-鸭泽湖,松科,落叶松属,新疆落叶松,Larix Sibirica,,乡村,散生,87.04936650°,48.62163783°,国有,,269.77,3,回归估测,17,260.62,339.12,5.5,6,5,1358.7,无坡向,平坡,平地,灰色森林土,25,中等,良好,良好,,,,,遗漏树木,无,,,,,,,,,3,,,,,,,,,,,,,,,,,2025,,
175,239,,,古树,新疆维吾尔自治区,65,阿勒泰地区,6543,布尔津县,654321,禾木哈纳斯蒙古民族乡,654321205,哈纳斯村委会,654321205201,卧龙湾-鸭泽湖,松科,落叶松属,新疆落叶松,Larix Sibirica,,乡村,散生,87.04942050°,48.62161883°,国有,,138.7,3,回归估测,15,166.42,194.68,5.6,5.6,5.6,1360.7,无坡向,平坡,平地,灰色森林土,25,中等,良好,良好,,,,,遗漏树木,无,,,,,,,,,3,,,,,,,,,,,,,,,,,2025,,
176,240,,,古树,新疆维吾尔自治区,65,阿勒泰地区,6543,布尔津县,654321,禾木哈纳斯蒙古民族乡,654321205,哈纳斯村委会,654321205201,卧龙湾-鸭泽湖,松科,落叶松属,新疆落叶松,Larix Sibirica,,乡村,散生,87.04949933°,48.62161833°,国有,,135.1,3,回归估测,15,163.28,188.4,8.25,9,7.5,1360.4,无坡向,平坡,平地,灰色森林土,25,中等,良好,良好,,,,,遗漏树木,无,,,,,,,,,3,,,,,,,,,,,,,,,,,2025,,
177,241,,,古树,新疆维吾尔自治区,65,阿勒泰地区,6543,布尔津县,654321,禾木哈纳斯蒙古民族乡,654321205,哈纳斯村委会,654321205201,卧龙湾-鸭泽湖,松科,落叶松属,新疆落叶松,Larix Sibirica,,乡村,散生,87.04948796°,48.62161496°,国有,,191.7,3,回归估测,16,194.68,226.08,7.25,7.8,6.7,1359.6,无坡向,平坡,平地,灰色森林土,30,中等,良好,良好,,,,,遗漏树木,无,,,,,,,,,3,,,,,,,,,,,,,,,,,2025,,
178,242,,,古树,新疆维吾尔自治区,65,阿勒泰地区,6543,布尔津县,654321,禾木哈纳斯蒙古民族乡,654321205,哈纳斯村委会,654321205201,卧龙湾-鸭泽湖,松科,落叶松属,新疆落叶松,Larix Sibirica,,乡村,散生,87.04965267°,48.62165733°,国有,,135.1,3,回归估测,16,163.28,204.1,3.25,3.2,3.3,1365.3,无坡向,平坡,平地,灰色森林土,30,中等,良好,良好,,,,,遗漏树木,无,,,,,,,,,3,,,,,,,,,,,,,,,,,2025,,
179,243,,,古树,新疆维吾尔自治区,65,阿勒泰地区,6543,布尔津县,654321,禾木哈纳斯蒙古民族乡,654321205,哈纳斯村委会,654321205201,卧龙湾-鸭泽湖,松科,落叶松属,新疆落叶松,Larix Sibirica,,乡村,散生,87.04961133°,48.62166183°,国有,,138.7,3,回归估测,16,166.42,200.96,4.45,4.5,4.4,1365.8,无坡向,平坡,平地,灰色森林土,30,中等,良好,良好,,,,,遗漏树木,无,,,,,,,,,3,,,,,,,,,,,,,,,,,2025,,
180,244,,,古树,新疆维吾尔自治区,65,阿勒泰地区,6543,布尔津县,654321,禾木哈纳斯蒙古民族乡,654321205,哈纳斯村委会,654321205201,卧龙湾-鸭泽湖,松科,落叶松属,新疆落叶松,Larix Sibirica,,乡村,散生,87.04970167°,48.62177083°,国有,,195.86,3,回归估测,16,197.82,232.36,3,3,3,1367,无坡向,平坡,平地,灰色森林土,30,中等,良好,良好,,,,,遗漏树木,无,,,,,,,,,3,,,,,,,,,,,,,,,,,2025,,
181,245,,,古树,新疆维吾尔自治区,65,阿勒泰地区,6543,布尔津县,654321,禾木哈纳斯蒙古民族乡,654321205,哈纳斯村委会,654321205201,卧龙湾-鸭泽湖,松科,落叶松属,新疆落叶松,Larix Sibirica,,乡村,散生,87.04814400°,48.62169467°,国有,,191.7,3,回归估测,17,194.68,251.2,3,3,3,1329.2,无坡向,平坡,平地,灰色森林土,30,中等,良好,良好,,,,,遗漏树木,无,,,,,,,,,3,,,,,,,,,,,,,,,,,2025,,
182,246,,,古树,新疆维吾尔自治区,65,阿勒泰地区,6543,布尔津县,654321,禾木哈纳斯蒙古民族乡,654321205,哈纳斯村委会,654321205201,卧龙湾-鸭泽湖,松科,落叶松属,新疆落叶松,Larix Sibirica,,乡村,散生,87.04812750°,48.62170567°,国有,,181.1,3,回归估测,17,188.4,251.2,4,4,4,1329.4,无坡向,平坡,平地,灰色森林土,30,中等,良好,良好,,,,,遗漏树木,无,,,,,,,,,3,,,,,,,,,,,,,,,,,2025,,
183,247,,,古树,新疆维吾尔自治区,65,阿勒泰地区,6543,布尔津县,654321,禾木哈纳斯蒙古民族乡,654321205,哈纳斯村委会,654321205201,卧龙湾-鸭泽湖,松科,云杉属,西伯利亚云杉,Picea obovata,,乡村,散生,87.04780050°,48.62187733°,国有,,107.32,3,回归估测,16,213.52,266.9,4,5,3,1326,无坡向,平坡,平地,灰色森林土,30,中等,良好,良好,,,,,遗漏树木,无,,,,,,,,,3,,,,,,,,,,,,,,,,,2025,,
184,248,,,古树,新疆维吾尔自治区,65,阿勒泰地区,6543,布尔津县,654321,禾木哈纳斯蒙古民族乡,654321205,哈纳斯村委会,654321205201,卧龙湾-鸭泽湖,松科,云杉属,西伯利亚云杉,Picea obovata,,乡村,散生,87.04768467°,48.62193217°,国有,,100.39,3,回归估测,16,200.96,219.8,4.5,4,5,1326.4,无坡向,平坡,平地,灰色森林土,30,中等,良好,良好,,,,,遗漏树木,无,,,,,,,,,3,,,,,,,,,,,,,,,,,2025,,
185,249,,,古树,新疆维吾尔自治区,65,阿勒泰地区,6543,布尔津县,654321,禾木哈纳斯蒙古民族乡,654321205,哈纳斯村委会,654321205201,卧龙湾-鸭泽湖,松科,落叶松属,新疆落叶松,Larix Sibirica,,乡村,散生,87.04715317°,48.62219817°,国有,,258.69,3,回归估测,17,251.2,314,3.5,4,3,1335.3,无坡向,平坡,平地,灰色森林土,30,中等,良好,良好,,,,,遗漏树木,无,,,,,,,,,3,,,,,,,,,,,,,,,,,2025,,
186,250,,,古树,新疆维吾尔自治区,65,阿勒泰地区,6543,布尔津县,654321,禾木哈纳斯蒙古民族乡,654321205,哈纳斯村委会,654321205201,卧龙湾-鸭泽湖,松科,落叶松属,新疆落叶松,Larix Sibirica,,乡村,散生,87.04569800°,48.62261517°,国有,,195.86,3,回归估测,16,197.82,235.5,5,6,4,1332.8,无坡向,平坡,平地,灰色森林土,30,中等,良好,良好,,,,,遗漏树木,无,,,,,,,,,3,,,,,,,,,,,,,,,,,2025,,
187,251,,,古树,新疆维吾尔自治区,65,阿勒泰地区,6543,布尔津县,654321,禾木哈纳斯蒙古民族乡,654321205,哈纳斯村委会,654321205201,卧龙湾-鸭泽湖,松科,落叶松属,新疆落叶松,Larix Sibirica,,乡村,散生,87.04566183°,48.62262783°,国有,,303.03,3,回归估测,18,288.88,314,4,3,5,1331.9,无坡向,平坡,平地,灰色森林土,25,中等,良好,良好,,,,,遗漏树木,无,,,,,,,,,3,,,,,,,,,,,,,,,,,2025,,
188,252,,,古树,新疆维吾尔自治区,65,阿勒泰地区,6543,布尔津县,654321,禾木哈纳斯蒙古民族乡,654321205,哈纳斯村委会,654321205201,卧龙湾-鸭泽湖,松科,云杉属,西伯利亚云杉,Picea obovata,,乡村,散生,87.04563417°,48.62261600°,国有,,110.78,3,回归估测,17,219.8,235.5,5.5,5,6,1332.4,无坡向,平坡,平地,灰色森林土,25,中等,良好,良好,,,,,遗漏树木,无,,,,,,,,,3,,,,,,,,,,,,,,,,,2025,,
189,253,,,古树,新疆维吾尔自治区,65,阿勒泰地区,6543,布尔津县,654321,禾木哈纳斯蒙古民族乡,654321205,哈纳斯村委会,654321205201,卧龙湾-鸭泽湖,松科,云杉属,西伯利亚云杉,Picea obovata,,乡村,散生,87.04562733°,48.62261367°,国有,,119.43,3,回归估测,17,235.5,266.9,7,7,7,1330.7,无坡向,平坡,平地,灰色森林土,25,中等,良好,良好,,,,,遗漏树木,无,,,,,,,,,3,,,,,,,,,,,,,,,,,2025,,
190,254,,,古树,新疆维吾尔自治区,65,阿勒泰地区,6543,布尔津县,654321,禾木哈纳斯蒙古民族乡,654321205,哈纳斯村委会,654321205201,卧龙湾-鸭泽湖,松科,落叶松属,新疆落叶松,Larix Sibirica,,乡村,散生,87.04550867°,48.62263667°,国有,,221.73,3,回归估测,16,219.8,282.6,4.75,4.5,5,1329.6,无坡向,平坡,平地,灰色森林土,25,中等,良好,良好,,,,,遗漏树木,无,,,,,,,,,3,,,,,,,,,,,,,,,,,2025,,
191,255,,,古树,新疆维吾尔自治区,65,阿勒泰地区,6543,布尔津县,654321,禾木哈纳斯蒙古民族乡,654321205,哈纳斯村委会,654321205201,卧龙湾-鸭泽湖,松科,云杉属,西伯利亚云杉,Picea obovata,,乡村,散生,87.04540667°,48.62262517°,国有,,128.09,3,回归估测,17,251.2,314,3.5,3,4,1324.7,无坡向,平坡,平地,灰色森林土,25,中等,良好,良好,,,,,遗漏树木,无,,,,,,,,,3,,,,,,,,,,,,,,,,,2025,,
192,256,,,古树,新疆维吾尔自治区,65,阿勒泰地区,6543,布尔津县,654321,禾木哈纳斯蒙古民族乡,654321205,哈纳斯村委会,654321205201,卧龙湾-鸭泽湖,松科,落叶松属,新疆落叶松,Larix Sibirica,,乡村,散生,87.04520617°,48.62264367°,国有,,295.64,3,回归估测,18,282.6,345.4,5.5,6,5,1325,无坡向,平坡,平地,灰色森林土,25,中等,良好,良好,,,,,遗漏树木,无,,,,,,,,,3,,,,,,,,,,,,,,,,,2025,,
193,257,,,古树,新疆维吾尔自治区,65,阿勒泰地区,6543,布尔津县,654321,禾木哈纳斯蒙古民族乡,654321205,哈纳斯村委会,654321205201,卧龙湾-鸭泽湖,松科,云杉属,西伯利亚云杉,Picea obovata,,乡村,散生,87.04371900°,48.62303133°,国有,,102.12,3,回归估测,16,204.1,219.8,4.5,4,5,1327.7,无坡向,平坡,平地,灰色森林土,25,中等,良好,良好,,,,,遗漏树木,无,,,,,,,,,3,,,,,,,,,,,,,,,,,2025,,
194,258,,,古树,新疆维吾尔自治区,65,阿勒泰地区,6543,布尔津县,654321,禾木哈纳斯蒙古民族乡,654321205,哈纳斯村委会,654321205201,卧龙湾-鸭泽湖,松科,落叶松属,新疆落叶松,Larix Sibirica,,乡村,散生,87.04356050°,48.62300300°,国有,,214.34,3,回归估测,16,213.52,251.2,4.5,5,4,1326.5,无坡向,平坡,平地,灰色森林土,25,中等,良好,良好,,,,,遗漏树木,无,,,,,,,,,3,,,,,,,,,,,,,,,,,2025,,
195,259,,,古树,新疆维吾尔自治区,65,阿勒泰地区,6543,布尔津县,654321,禾木哈纳斯蒙古民族乡,654321205,哈纳斯村委会,654321205201,卧龙湾-鸭泽湖,松科,落叶松属,新疆落叶松,Larix Sibirica,,乡村,散生,87.04343333°,48.62309100°,国有,,181.1,3,回归估测,15,188.4,219.8,4.5,5,4,1331.4,无坡向,平坡,平地,灰色森林土,25,中等,良好,良好,,,,,遗漏树木,无,,,,,,,,,3,,,,,,,,,,,,,,,,,2025,,
196,260,,,古树,新疆维吾尔自治区,65,阿勒泰地区,6543,布尔津县,654321,禾木哈纳斯蒙古民族乡,654321205,哈纳斯村委会,654321205201,卧龙湾-鸭泽湖,松科,落叶松属,新疆落叶松,Larix Sibirica,,乡村,散生,87.04339900°,48.62319233°,国有,,149,3,回归估测,15,172.7,204.1,3.5,4,3,1334.3,无坡向,平坡,平地,灰色森林土,25,中等,良好,良好,,,,,遗漏树木,无,,,,,,,,,3,,,,,,,,,,,,,,,,,2025,,
197,261,,,古树,新疆维吾尔自治区,65,阿勒泰地区,6543,布尔津县,654321,禾木哈纳斯蒙古民族乡,654321205,哈纳斯村委会,654321205201,卧龙湾-鸭泽湖,松科,落叶松属,新疆落叶松,Larix Sibirica,,乡村,散生,87.04273650°,48.62338317°,国有,,221.73,3,回归估测,18,219.8,266.9,5,5,5,1337.8,无坡向,平坡,平地,灰色森林土,25,中等,良好,良好,,,,,遗漏树木,无,,,,,,,,,3,,,,,,,,,,,,,,,,,2025,,
198,262,,,古树,新疆维吾尔自治区,65,阿勒泰地区,6543,布尔津县,654321,禾木哈纳斯蒙古民族乡,654321205,哈纳斯村委会,654321205201,卧龙湾-鸭泽湖,松科,云杉属,西伯利亚云杉,Picea obovata,,乡村,散生,87.04151283°,48.62407467°,国有,,107.32,3,回归估测,18,213.52,251.2,5.5,5,6,1330.2,无坡向,平坡,平地,灰色森林土,25,中等,良好,良好,,,,,遗漏树木,无,,,,,,,,,3,,,,,,,,,,,,,,,,,2025,,
199,263,,,古树,新疆维吾尔自治区,65,阿勒泰地区,6543,布尔津县,654321,禾木哈纳斯蒙古民族乡,654321205,哈纳斯村委会,654321205201,卧龙湾-鸭泽湖,松科,云杉属,西伯利亚云杉,Picea obovata,,乡村,散生,87.04093900°,48.62445833°,国有,,136.74,3,回归估测,17,266.9,314,5.5,5,6,1327.6,无坡向,平坡,平地,灰色森林土,20,中等,良好,良好,,,,,遗漏树木,无,,,,,,,,,3,,,,,,,,,,,,,,,,,2025,,
200,266,,,古树,新疆维吾尔自治区,65,阿勒泰地区,6543,布尔津县,654321,禾木哈纳斯蒙古民族乡,654321205,哈纳斯村委会,654321205201,卧龙湾-鸭泽湖,松科,落叶松属,新疆落叶松,Larix Sibirica,,乡村,散生,87.04443950°,48.63049800°,国有,,181.1,3,回归估测,15,188.4,248.06,3,3,3,1331.7,无坡向,平坡,平地,灰色森林土,20,中等,良好,良好,,,,,遗漏树木,无,,,,,,,,,3,,,,,,,,,,,,,,,,,2025,,
201,267,,,古树,新疆维吾尔自治区,65,阿勒泰地区,6543,布尔津县,654321,禾木哈纳斯蒙古民族乡,654321205,哈纳斯村委会,654321205201,卧龙湾-鸭泽湖,松科,落叶松属,新疆落叶松,Larix Sibirica,,乡村,散生,87.04467950°,48.63085167°,国有,,149,3,回归估测,15,172.7,204.1,4,4,4,1333.5,无坡向,平坡,平地,灰色森林土,20,中等,良好,良好,,,,,遗漏树木,无,,,,,,,,,3,,,,,,,,,,,,,,,,,2025,,
202,268,,,古树,新疆维吾尔自治区,65,阿勒泰地区,6543,布尔津县,654321,禾木哈纳斯蒙古民族乡,654321205,哈纳斯村委会,654321205201,卧龙湾-鸭泽湖,松科,落叶松属,新疆落叶松,Larix Sibirica,,乡村,散生,87.04507067°,48.63166933°,国有,,221.73,3,回归估测,18,219.8,251.2,9.2,8.4,10,1333.8,无坡向,平坡,平地,灰色森林土,20,中等,良好,良好,,,,,遗漏树木,无,,,,,,,,,3,,,,,,,,,,,,,,,,,2025,,
203,269,,,古树,新疆维吾尔自治区,65,阿勒泰地区,6543,布尔津县,654321,禾木哈纳斯蒙古民族乡,654321205,哈纳斯村委会,654321205201,卧龙湾-鸭泽湖,松科,落叶松属,新疆落叶松,Larix Sibirica,,乡村,散生,87.04510750°,48.63191517°,国有,,461.94,2,回归估测,21,423.9,439.6,9.5,9,10,1333.7,无坡向,平坡,平地,灰色森林土,20,中等,良好,良好,,,,,遗漏树木,无,,,,,,,,,3,,,,,,,,,,,,,,,,,2025,,
204,270,,,古树,新疆维吾尔自治区,65,阿勒泰地区,6543,布尔津县,654321,禾木哈纳斯蒙古民族乡,654321205,哈纳斯村委会,654321205201,卧龙湾-鸭泽湖,松科,落叶松属,新疆落叶松,Larix Sibirica,,乡村,散生,87.04489233°,48.63387083°,国有,,181.1,3,回归估测,15,188.4,251.2,6.5,7,6,1344,无坡向,平坡,平地,灰色森林土,20,中等,良好,良好,,,,,遗漏树木,无,,,,,,,,,3,,,,,,,,,,,,,,,,,2025,,
205,271,,,古树,新疆维吾尔自治区,65,阿勒泰地区,6543,布尔津县,654321,禾木哈纳斯蒙古民族乡,654321205,哈纳斯村委会,654321205201,卧龙湾-鸭泽湖,松科,落叶松属,新疆落叶松,Larix Sibirica,,乡村,散生,87.04555900°,48.63403667°,国有,,240.21,3,回归估测,16,235.5,282.6,6,6,6,1382,无坡向,平坡,平地,灰色森林土,20,中等,良好,良好,,,,,遗漏树木,无,,,,,,,,,3,,,,,,,,,,,,,,,,,2025,,
206,272,,,古树,新疆维吾尔自治区,65,阿勒泰地区,6543,布尔津县,654321,禾木哈纳斯蒙古民族乡,654321205,哈纳斯村委会,654321205201,卧龙湾-鸭泽湖,松科,落叶松属,新疆落叶松,Larix Sibirica,,乡村,散生,87.04562700°,48.63403733°,国有,,181.1,3,回归估测,14,188.4,251.2,6.5,7,6,1384.9,无坡向,平坡,平地,灰色森林土,20,中等,良好,良好,,,,,遗漏树木,无,,,,,,,,,3,,,,,,,,,,,,,,,,,2025,,
207,273,,,古树,新疆维吾尔自治区,65,阿勒泰地区,6543,布尔津县,654321,禾木哈纳斯蒙古民族乡,654321205,哈纳斯村委会,654321205201,卧龙湾-鸭泽湖,松科,落叶松属,新疆落叶松,Larix Sibirica,,乡村,散生,87.04598067°,48.63378050°,国有,,258.69,3,回归估测,18,251.2,282.6,6,5,7,1400,无坡向,平坡,平地,灰色森林土,20,中等,良好,良好,,,,,遗漏树木,无,,,,,,,,,3,,,,,,,,,,,,,,,,,2025,,
208,274,,,古树,新疆维吾尔自治区,65,阿勒泰地区,6543,布尔津县,654321,禾木哈纳斯蒙古民族乡,654321205,哈纳斯村委会,654321205201,哈纳斯村,松科,落叶松属,新疆落叶松,Larix Sibirica,,乡村,散生,87.00842167°,48.69815167°,国有,,288.25,3,回归估测,19,276.32,361.1,7,6.5,7.5,1397.3,无坡向,平坡,平地,灰色森林土,20,中等,良好,良好,,,,,遗漏树木,无,,,,,,,,,3,,,,,,,,,,,,,,,,,2025,,
209,275,,,古树,新疆维吾尔自治区,65,阿勒泰地区,6543,布尔津县,654321,禾木哈纳斯蒙古民族乡,654321205,哈纳斯村委会,654321205201,哈纳斯村,松科,落叶松属,新疆落叶松,Larix Sibirica,,乡村,散生,87.00842167°,48.69815050°,国有,,181.1,3,回归估测,15,188.4,213.52,6,7,5,1397.2,无坡向,平坡,平地,灰色森林土,20,中等,良好,良好,,,,,遗漏树木,无,,,,,,,,,3,,,,,,,,,,,,,,,,,2025,,
210,276,,,古树,新疆维吾尔自治区,65,阿勒泰地区,6543,布尔津县,654321,禾木哈纳斯蒙古民族乡,654321205,哈纳斯村委会,654321205201,哈纳斯村,松科,落叶松属,新疆落叶松,Larix Sibirica,,乡村,散生,87.00842100°,48.69798983°,国有,,332.6,3,回归估测,20,314,376.8,11,12,10,1396.5,无坡向,平坡,平地,灰色森林土,20,中等,良好,良好,,,,,遗漏树木,无,,,,,,,,,3,,,,,,,,,,,,,,,,,2025,,
211,277,,,古树,新疆维吾尔自治区,65,阿勒泰地区,6543,布尔津县,654321,禾木哈纳斯蒙古民族乡,654321205,哈纳斯村委会,654321205201,哈纳斯村,松科,落叶松属,新疆落叶松,Larix Sibirica,,乡村,散生,87.00839667°,48.69771017°,国有,,203.25,3,回归估测,15,204.1,219.8,4.5,4,5,1397.5,无坡向,平坡,平地,灰色森林土,30,中等,良好,良好,,,,,遗漏树木,无,,,,,,,,,3,,,,,,,,,,,,,,,,,2025,,
212,278,,,古树,新疆维吾尔自治区,65,阿勒泰地区,6543,布尔津县,654321,禾木哈纳斯蒙古民族乡,654321205,哈纳斯村委会,654321205201,哈纳斯村,松科,落叶松属,新疆落叶松,Larix Sibirica,,乡村,散生,87.00855750°,48.69762917°,国有,,149,3,回归估测,14,172.7,188.4,8.5,8,9,1368.3,无坡向,平坡,平地,灰色森林土,30,中等,良好,良好,,,,,遗漏树木,无,,,,,,,,,3,,,,,,,,,,,,,,,,,2025,,
213,279,,,古树,新疆维吾尔自治区,65,阿勒泰地区,6543,布尔津县,654321,禾木哈纳斯蒙古民族乡,654321205,哈纳斯村委会,654321205201,哈纳斯村,松科,落叶松属,新疆落叶松,Larix Sibirica,,乡村,散生,87.00911150°,48.69753467°,国有,,221.73,3,回归估测,16,219.8,251.2,7.5,7,8,1386.3,无坡向,平坡,平地,灰色森林土,30,中等,良好,良好,,,,,遗漏树木,无,,,,,,,,,3,,,,,,,,,,,,,,,,,2025,,
214,280,,,古树,新疆维吾尔自治区,65,阿勒泰地区,6543,布尔津县,654321,禾木哈纳斯蒙古民族乡,654321205,哈纳斯村委会,654321205201,哈纳斯村,松科,落叶松属,新疆落叶松,Larix Sibirica,,乡村,散生,87.00914600°,48.69752917°,国有,,203.25,3,回归估测,17,204.1,266.9,7.5,7,8,1387.4,无坡向,平坡,平地,灰色森林土,30,中等,良好,良好,,,,,遗漏树木,无,,,,,,,,,3,,,,,,,,,,,,,,,,,2025,,
215,281,,,古树,新疆维吾尔自治区,65,阿勒泰地区,6543,布尔津县,654321,禾木哈纳斯蒙古民族乡,654321205,哈纳斯村委会,654321205201,哈纳斯村,松科,落叶松属,新疆落叶松,Larix Sibirica,,乡村,散生,87.00926533°,48.69728750°,国有,,306.73,3,回归估测,19,292.02,361.1,9,8,10,1388.9,无坡向,平坡,平地,灰色森林土,30,中等,良好,良好,,,,,遗漏树木,无,,,,,,,,,3,,,,,,,,,,,,,,,,,2025,,
216,282,,,古树,新疆维吾尔自治区,65,阿勒泰地区,6543,布尔津县,654321,禾木哈纳斯蒙古民族乡,654321205,哈纳斯村委会,654321205201,哈纳斯村,松科,落叶松属,新疆落叶松,Larix Sibirica,,乡村,散生,87.00940183°,48.69715267°,国有,,203.25,3,回归估测,16,204.1,251.2,11,12,10,1387.4,无坡向,平坡,平地,灰色森林土,30,中等,良好,良好,,,,,遗漏树木,无,,,,,,,,,3,,,,,,,,,,,,,,,,,2025,,
217,283,,,古树,新疆维吾尔自治区,65,阿勒泰地区,6543,布尔津县,654321,禾木哈纳斯蒙古民族乡,654321205,哈纳斯村委会,654321205201,哈纳斯村,松科,落叶松属,新疆落叶松,Larix Sibirica,,乡村,散生,87.00956450°,48.69715600°,国有,,214.34,3,回归估测,16,213.52,376.8,7.5,9,6,1388.8,无坡向,平坡,平地,灰色森林土,30,中等,良好,良好,,,,,遗漏树木,无,,,,,,,,,3,,,,,,,,,,,,,,,,,2025,,
218,284,,,古树,新疆维吾尔自治区,65,阿勒泰地区,6543,布尔津县,654321,禾木哈纳斯蒙古民族乡,654321205,哈纳斯村委会,654321205201,哈纳斯村,松科,落叶松属,新疆落叶松,Larix Sibirica,,乡村,散生,87.00982733°,48.69706467°,国有,,221.73,3,回归估测,17,219.8,251.2,9.5,10,9,1390,无坡向,平坡,平地,灰色森林土,30,中等,良好,良好,,,,,遗漏树木,无,,,,,,,,,3,,,,,,,,,,,,,,,,,2025,,
219,285,,,古树,新疆维吾尔自治区,65,阿勒泰地区,6543,布尔津县,654321,禾木哈纳斯蒙古民族乡,654321205,哈纳斯村委会,654321205201,哈纳斯村,松科,落叶松属,新疆落叶松,Larix Sibirica,,乡村,散生,87.01016350°,48.69714033°,国有,,258.69,3,回归估测,17,251.2,298.3,3,3,3,1389.8,无坡向,平坡,平地,灰色森林土,30,中等,良好,良好,,,,,遗漏树木,无,,,,,,,,,3,,,,,,,,,,,,,,,,,2025,,
220,286,,,古树,新疆维吾尔自治区,65,阿勒泰地区,6543,布尔津县,654321,禾木哈纳斯蒙古民族乡,654321205,哈纳斯村委会,654321205201,哈纳斯村,松科,落叶松属,新疆落叶松,Larix Sibirica,,乡村,散生,87.03381317°,48.69276117°,国有,,168.4,3,回归估测,16,182.12,188.4,8,8,8,1393.3,无坡向,平坡,平地,灰色森林土,30,中等,良好,良好,,,,,遗漏树木,无,,,,,,,,,3,,,,,,,,,,,,,,,,,2025,,
